wall_id,n_observations_total,zone_type,n_trajectories_max
W0_0,24,normal,9
W0_119,43,normal,7
W0_126,11,dead_zone,5
W0_127,43,normal,9
W0_13,7,dead_zone,3
W0_130,13,dead_zone,4
W0_131,23,normal,7
W0_132,20,normal,7
W0_133,5,dead_zone,2
W0_134,43,normal,8
W0_138,17,normal,5
W0_139,19,normal,6
W0_147,39,normal,7
W0_148,25,normal,8
W0_152,22,normal,7
W0_153,25,normal,9
W0_156,22,normal,6
W0_159,20,normal,7
W0_160,53,overuse,8
W0_161,10,dead_zone,5
W0_162,31,normal,7
W0_163,55,overuse,7
W0_164,13,dead_zone,4
W0_165,22,normal,7
W0_170,74,overuse,11
W0_171,50,overuse,6
W0_176,28,normal,7
W0_177,11,dead_zone,4
W0_183,32,normal,8
W0_184,40,normal,9
W0_187,80,overuse,13
W0_188,98,overuse,7
W0_192,14,dead_zone,4
W0_195,37,normal,7
W0_198,52,overuse,6
W0_199,64,overuse,9
W0_2,7,dead_zone,3
W0_200,26,normal,8
W0_201,82,overuse,12
W0_203,25,normal,7
W0_204,27,normal,7
W0_208,99,overuse,10
W0_209,56,overuse,13
W0_214,27,normal,7
W0_221,127,overuse,10
W0_222,53,overuse,12
W0_223,108,overuse,10
W0_227,20,normal,4
W0_228,16,normal,7
W0_232,49,normal,8
W0_234,70,overuse,9
W0_45,12,dead_zone,3
W0_47,8,dead_zone,3
W0_49,48,normal,7
W0_51,11,dead_zone,4
W0_54,22,normal,10
W0_58,8,dead_zone,3
W0_71,8,dead_zone,4
W0_93,4,dead_zone,2
