behavior_type,room_id,n_observations,n_trajectories,pct_obs
Активный обходчик,Room_0,5,4,1.0
Активный обходчик,Room_1,7,4,1.4
Активный обходчик,Room_10,52,7,10.38
Активный обходчик,Room_11,27,6,5.39
Активный обходчик,Room_12,58,7,11.58
Активный обходчик,Room_13,74,7,14.77
Активный обходчик,Room_14,64,7,12.77
Активный обходчик,Room_3,14,5,2.79
Активный обходчик,Room_5,7,3,1.4
Активный обходчик,Room_7,97,7,19.36
Активный обходчик,Room_8,28,7,5.59
Активный обходчик,Room_9,68,7,13.57
Быстрый,Room_1,11,9,2.95
Быстрый,Room_10,38,13,10.19
Быстрый,Room_11,19,8,5.09
Быстрый,Room_12,52,12,13.94
Быстрый,Room_13,45,10,12.06
Быстрый,Room_14,29,9,7.77
Быстрый,Room_3,13,5,3.49
Быстрый,Room_5,10,4,2.68
Быстрый,Room_7,90,12,24.13
Быстрый,Room_8,23,11,6.17
Быстрый,Room_9,43,7,11.53
Исследователь,Room_0,4,2,0.54
Исследователь,Room_1,10,10,1.35
Исследователь,Room_10,66,10,8.91
Исследователь,Room_11,49,8,6.61
Исследователь,Room_12,77,12,10.39
Исследователь,Room_13,125,13,16.87
Исследователь,Room_14,117,12,15.79
Исследователь,Room_3,28,11,3.78
Исследователь,Room_5,15,4,2.02
Исследователь,Room_7,133,11,17.95
Исследователь,Room_8,35,9,4.72
Исследователь,Room_9,82,11,11.07
Медленный,Room_0,2,2,0.41
Медленный,Room_1,3,3,0.62
Медленный,Room_10,57,10,11.8
Медленный,Room_11,24,8,4.97
Медленный,Room_12,63,10,13.04
Медленный,Room_13,111,10,22.98
Медленный,Room_14,53,6,10.97
Медленный,Room_3,26,7,5.38
Медленный,Room_5,4,2,0.83
Медленный,Room_7,63,9,13.04
Медленный,Room_8,26,10,5.38
Медленный,Room_9,51,11,10.56
