behavior_type,quadrant,phase,phase_ru,n_points,pct_of_type_points,pct_within_quadrant
Активный обходчик,SW,start,начало,676,13.57,75.19
Активный обходчик,SW,mid,середина,127,2.55,14.13
Активный обходчик,SW,end,конец,96,1.93,10.68
Активный обходчик,SE,start,начало,1313,26.36,69.77
Активный обходчик,SE,mid,середина,543,10.9,28.85
Активный обходчик,SE,end,конец,26,0.52,1.38
Активный обходчик,NW,start,начало,996,20.0,71.91
Активный обходчик,NW,mid,середина,42,0.84,3.03
Активный обходчик,NW,end,конец,347,6.97,25.05
Активный обходчик,NE,start,начало,704,14.13,86.38
Активный обходчик,NE,mid,середина,86,1.73,10.55
Активный обходчик,NE,end,конец,25,0.5,3.07
Быстрый,SW,start,начало,430,7.68,44.75
Быстрый,SW,mid,середина,163,2.91,16.96
Быстрый,SW,end,конец,368,6.57,38.29
Быстрый,SE,start,начало,825,14.74,53.54
Быстрый,SE,mid,середина,171,3.05,11.1
Быстрый,SE,end,конец,545,9.74,35.37
Быстрый,NW,start,начало,1042,18.61,52.23
Быстрый,NW,mid,середина,0,0.0,0.0
Быстрый,NW,end,конец,953,17.02,47.77
Быстрый,NE,start,начало,610,10.9,55.4
Быстрый,NE,mid,середина,350,6.25,31.79
Быстрый,NE,end,конец,141,2.52,12.81
Исследователь,SW,start,начало,757,9.07,54.58
Исследователь,SW,mid,середина,139,1.67,10.02
Исследователь,SW,end,конец,491,5.88,35.4
Исследователь,SE,start,начало,1494,17.9,45.62
Исследователь,SE,mid,середина,805,9.65,24.58
Исследователь,SE,end,конец,976,11.69,29.8
Исследователь,NW,start,начало,1783,21.36,68.21
Исследователь,NW,mid,середина,93,1.11,3.56
Исследователь,NW,end,конец,738,8.84,28.23
Исследователь,NE,start,начало,415,4.97,38.79
Исследователь,NE,mid,середина,246,2.95,22.99
Исследователь,NE,end,конец,409,4.9,38.22
Медленный,SW,start,начало,1095,12.3,89.75
Медленный,SW,mid,середина,69,0.78,5.66
Медленный,SW,end,конец,56,0.63,4.59
Медленный,SE,start,начало,1506,16.92,54.78
Медленный,SE,mid,середина,1239,13.92,45.07
Медленный,SE,end,конец,4,0.04,0.15
Медленный,NW,start,начало,3161,35.5,91.54
Медленный,NW,mid,середина,0,0.0,0.0
Медленный,NW,end,конец,292,3.28,8.46
Медленный,NE,start,начало,530,5.95,35.79
Медленный,NE,mid,середина,891,10.01,60.16
Медленный,NE,end,конец,60,0.67,4.05
