behavior_type,phase,phase_ru,n_points,pct_points,n_trajectories,n_total_points
Активный обходчик,start,начало,3689,74.06,7,4981
Активный обходчик,mid,середина,798,16.02,7,4981
Активный обходчик,end,конец,494,9.92,7,4981
Быстрый,start,начало,2907,51.93,13,5598
Быстрый,mid,середина,684,12.22,13,5598
Быстрый,end,конец,2007,35.85,13,5598
Исследователь,start,начало,4449,53.31,14,8346
Исследователь,mid,середина,1283,15.37,14,8346
Исследователь,end,конец,2614,31.32,14,8346
Медленный,start,начало,6292,70.67,11,8903
Медленный,mid,середина,2199,24.7,11,8903
Медленный,end,конец,412,4.63,11,8903
