hook date,unhook date,floor,wall_id,room_id,painting name,artist,date,image id,information,height,width,frame left distance,painting left distance,painting right distance,frame right distance,frame ground distance,painting ground distance,Type,Description (fr),NMFA Source,External source,Inventory number,Acquisition,Inscriptions/marks (fr),Inscriptions/marks (en),Bibliography,Notes,Photographer,Location represented
2019-02-13,,0,W0_223,Room_14,Quai des orfèvres à Paris,Marie-Louise Siméon,Before 1937,0_0300,available,0.465,0.54,0.37,0.42,0.89,0.93,1.71,1.74,Oil on canvas,,https://collections-mba.nancy.fr/fr/notice/65-2-94-quai-des-orfevres-a-paris-55764b21-5a1f-4c17-a29a-bafc1a82e8a9,,65.2.94,1965.2 Legs Galilée,"Signature
en bas à droite
marie/louise Siméon
Tampon
au verso sur le châssis
Lefevre-Foinet
Tampon
au verso sur la toile
dans un ovale
LEFEVRE - FOINET
Numéro
au verso sur le châssis
en rouge
8","Signature
lower right
marie/louise Siméon
Stamp
on verso on stretcher
Lefevre-Foinet
Stamp
on verso on canvas
in an oval
LEFEVRE - FOINET
Number
on verso on stretcher
in red
8","Pierre Kayser, La donation Henri Galilée au Musée des Beaux-Arts de Nancy, Mémoire de maîtrise, Nancy, Université de Nancy II, 1990-1993.
n°94",,Cliché Ville de Nancy,Seine
2019-02-13,,0,W0_223,Room_14,Cathédrale de Rouen,Pierre Dumont,Circa 1925,0_0301,available,0.89,0.73,1.15,1.22,1.84,1.9,1.1,1.15,Oil on canvas,,https://collections-mba.nancy.fr/fr/notice/65-2-31-cathedrale-de-rouen-a5bbb3bc-1f15-4541-8379-720194051772,,65.2.31,1965.2 Legs Galilée,"Signature
en bas à gauche
Pierre Dumont
Cartel
sur le cadre
à gauche
PIERRE DUMONT (1884-1936)
Cartel
sur le cadre
à droite
LA CATHEDRALE DE ROUEN
Numéro
au verso sur la toile
craie blanche
52
Numéro
sur le châssis
à la craie grasse bleue
7
Inscription
sur le cadre
à la craie grasse
P 10 65
Numéro
sur le cadre
chiffre entouré
6","Signature
lower left
Pierre Dumont
Cartel
on frame
at left
PIERRE DUMONT (1884-1936)
Cartel
on frame
on the right
THE CATHEDRAL OF ROUEN
Number
verso on canvas
white chalk
52
Number
on stretcher
in blue chalk
7
Inscription
on the frame
with chalk
P 10 65
Number
on frame
circled number
6","Pierre Kayser, La donation Henri Galilée au Musée des Beaux-Arts de Nancy, Mémoire de maîtrise, Nancy, Université de Nancy II, 1990-1993.
n°31",,Cliché Ville de Nancy,Rouen
2019-02-13,,0,W0_223,Room_14,Vannes vue de Langles,Jean Frélaut,1922,0_0302,available,0.845,1.035,2.28,2.41,3.28,3.36,1.59,1.64,Oil on canvas,,https://collections-mba.nancy.fr/fr/notice/65-2-41-vannes-vue-de-langles-ae72109e-4597-4836-a9c5-cdcf788a8cc9,,65.2.41,1965.2 Legs Galilée,"Signature et date
en bas à gauche
J. Frelaut 1922
Cartel
sur le cadre
en plastique
à gauche : Jean FRELAUT (1879 - 1954) et à droite : PAYSAGE BRETON (1922)
Cachet
au verso sur la toile
TOILES & COULEURS FINES/ PAUL FOINET FILS/en partie effacé
Mention
au verso sur le châssis
Craie rouge
salon aut [...]
Numéro
au verso sur le cadre
au crayon gras bleu
2770","Signature and date
lower left
J. Frelaut 1922
Cartel
on plastic
plastic frame
left: Jean FRELAUT (1879 - 1954) and right: PAYSAGE BRETON (1922)
Stamp
on verso on canvas
TOILES & COULEURS FINES/ PAUL FOINET FILS/ partly erased
Mention
on verso on stretcher
Red chalk
salon aut [...]
Number
on verso on frame
in blue grease pencil
2770","Pierre Kayser, La donation Henri Galilée au Musée des Beaux-Arts de Nancy, Mémoire de maîtrise, Nancy, Université de Nancy II, 1990-1993.
n°41",,"Cliché Gilbert Mangin © ADAGP, Paris, 2021",Bretagne
2019-02-13,,0,W0_223,Room_14,Port de Cassis,André Fraye,1920,0_0303,available,0.78,0.94,4.77,4.82,5.6,5.7,1.59,1.65,Oil on canvas,,https://collections-mba.nancy.fr/fr/notice/65-2-40-port-de-cassis-b01199e0-1b73-43a5-8c99-075a407a160e,,65.2.40,1965.2 Legs Galilée,"Signature
en bas à gauche
André Fraye
Annotation
au verso sur la toile
André Fraye / 1920 / PORT de / CASSIS
Cachet
au verso
sur la toile et le châssis
Douanes / Paris / exposition
Numéro
au verso sur la toile
craie blanche
n°27","Signature
lower left
André Fraye
Annotation
on verso on canvas
André Fraye / 1920 / PORT de / CASSIS
Stamp
on verso
on canvas and stretcher
Customs / Paris / exhibition
Number
on verso on canvas
white chalk
n°27","Pierre Kayser, La donation Henri Galilée au Musée des Beaux-Arts de Nancy, Mémoire de maîtrise, Nancy, Université de Nancy II, 1990-1993.
n°40",,Cliché Ville de Nancy,Cassis
2019-02-13,,0,W0_227,Room_14,"Nature morte, livres et lilas",Paul Sérusier,1908,0_0304,available,0.76,0.94,4.39,4.5,5.22,5.33,0.79,0.91,Oil on canvas,,https://collections-mba.nancy.fr/fr/notice/65-2-91-nature-morte-livres-et-lilas-d704f87e-5d7d-41e1-abbe-f8e1dd1d4611,,65.2.91,1965.2 Legs Galilée,"Signature
en bas à gauche
P. Ser. II 8
Etiquette
au verso sur le châssis
Galerie Druet / 20 Rue Royale /N°4969 / Sérusier P. / Livres et lilas / Toile 54 x 73
Numéro
au verso sur le châssis
PH 2360H
Numéro
au verso sur le châssis
40","Signature
lower left
P. Ser. II 8
Label
on verso on stretcher
Galerie Druet / 20 Rue Royale /N°4969 / Sérusier P. / Livres et lilas / Canvas 54 x 73
Number
on reverse on stretcher
PH 2360H
Number
on reverse on stretcher
40","Pierre Kayser, La donation Henri Galilée au Musée des Beaux-Arts de Nancy, Mémoire de maîtrise, Nancy, Université de Nancy II, 1990-1993.
n°91, p.309-310
Marcel Guicheteau, Paul Sérusier, Paris Side, 1976
n°231, p.246, ill.231, p.247
Denis Rouart, ""Musée des Beaux-Arts de Nancy : La collection Henri Galilée"", La Revue du Louvre et des musées de France, n°6, 1968, p.403-408
p.404",,Cliché Ville de Nancy,
2019-02-13,,0,W0_232,Room_14,Les tulipes,Louis Valtat,Circa 1921,0_0305,available,0.85,0.745,0.37,0.5,0.98,1.11,1.56,1.67,Oil on canvas (isorel),,https://collections-mba.nancy.fr/fr/notice/65-2-100-les-tulipes-84d98df0-4ba1-41d9-8b1e-bd265ce72356,,65.2.100,1965.2 Legs Galilée,"Signature
en bas à droite
(Sous le cadre)
L. Valtat
Etiquette
au verso sur le châssis
Bordeaux / 19 mai-27 août 1997
Numéro
au verso sur le châssis
Crayon gras
1721 /Mr G","Signature
lower right
(Under the frame)
L. Valtat
Label
on reverse on stretcher
Bordeaux / May 19-August 27, 1997
Number
on reverse on stretcher
Grease pencil
1721 /Mr G","Pierre Kayser, La donation Henri Galilée au Musée des Beaux-Arts de Nancy, Mémoire de maîtrise, Nancy, Université de Nancy II, 1990-1993.
n°101, p.354-357",,"Cliché Ville de Nancy © ADAGP, Paris, 2021
",
2019-02-13,,0,W0_227,Room_14,Fleurs,Maurice de Vlaminck,Circa 1924,0_0306,available,0.8,0.655,2.92,03.02,3.48,3.57,1.57,1.65,Oil on canvas,,https://collections-mba.nancy.fr/fr/notice/65-2-106-fleurs-4f097a6c-689a-4ed8-a315-97dc3723b8a2,,65.2.106,1965.2 Legs Galilée,"Signature
en bas à droite
Vlaminck
Etiquette
au verso sur le châssis
4729 / Mme (en exposant) GALILEE / illisible
Mention
au verso sur le cadre
GIGUET","Signature
lower right
Vlaminck
Label
on reverse on stretcher
4729 / Mme (en exposant) GALILEE / illegible
Mention
on verso on frame
GIGUET","Clara Gelly-Saldias, ""Natures mortes françaises du musée des Beaux-Arts de Nancy"", dans Péristyles, n°11, 1998
p.38, ill.6, p.38
Pierre Kayser, La donation Henri Galilée au Musée des Beaux-Arts de Nancy, Mémoire de maîtrise, Nancy, Université de Nancy II, 1990-1993.
n°106, p.369-370
Denis Rouart, ""Musée des Beaux-Arts de Nancy : La collection Henri Galilée"", La Revue du Louvre et des musées de France, n°6, 1968, p.403-408
p.405",,"Cliché Gilbert Mangin © ADAGP, Paris, 2021",
2019-02-13,,0,W0_153,Room_9,Paysage,Max Pechstein,1912,0_0334,available,0.71,0.8,0.4,0.51,1.3,1.4,01.09,1.19,Oil on canvas,"Quatre femmes à l'allure sculpturale, aux corps cernés d'un rouge puissant, s'égaient dans un paysage dont les couleurs défient également les codes de la représentation traditionnelle. Membre du groupe ""Die Brücke"" (Le Pont), créé à Dresde en 1905, Max Pe",,https://www.inha.fr/fr/actualites/actualites-de-l-inha/en-2021/d-un-seminaire-a-une-restitution-nus-dans-un-paysage-de-max-pechstein.html,,"1966 Acquisition de l'État pour le Musée national d'art moderne / Centre de création industrielle, Centre Georges Pompidou, 1966 / Dépôt, 1998",,,,,,
2019-02-13,,0,W0_163,Room_9,Paysage de provence,André Derain,1921-1924,0_0337,available,0.905,1.095,2.88,2.97,3.85,3.94,1.1,1.17,Oil on canvas,,https://collections-mba.nancy.fr/fr/notice/65-2-22-paysage-de-provence-8e4c1968-fdcb-4342-95dc-f90a0d69fed4,,65.2.22,1965.2 Legs Mme Henri Galilée,"Signature
en bas à droite
Peinture noire. Nom souligné
Derain
Etiquette
au verso sur le châssis
3 étiquettes superposées, arrachées partiellement
Spécialiste emballage et transport d'objets d'art / Paris XV° / exposition de Belfou (?)
Numéro
au verso sur ","Signature
en bas à droite
Peinture noire. Nom souligné
Derain
Etiquette
au verso sur le châssis
3 étiquettes superposées, arrachées partiellement
Spécialiste emballage et transport d'objets d'art / Paris XV° / exposition de Belfou (?)
Numéro
au verso sur ","Isabelle Monod-Fontaine, André Derain : An Outsider in French Art, Copenhague, Statens Museum for Kunst, 2007, Statens Museum for Kunst
n°62, p.153-154, ill., p.148
Emmanuel Bénézit, Dictionnaire critique et documentaire des peintres, sculpteurs, dessinat","Pas de catalogue édité
n°61, p.224, ill., p.225
n°71, p.180
La collection Henri Galilée, Nancy, Musée des Beaux-Arts, 19 février - avril 1961, Musée des Beaux-Arts de Nancy
n°26 ","Cliché Ville de Nancy, Patrice Buren © ADAGP, Paris, 2021",Provence
2019-02-13,,0,W0_188,Room_9,Les bouleaux,Charles Peccatte,First half of the 20th century,0_0347,available,0.57,0.665,0.42,0.48,01.03,1.1,1.26,1.33,Oil on canvas,"Le bouleau est l’un des sujets favoris de l’artiste, qu’il peint en particulier à l’automne, lorsque les couleurs flamboient. Il fréquente les peintres modernes, notamment Paul Signac qu’il rencontre à plusieurs reprises. Comme eux, il peint dans le style impressionniste, puis post-impressionniste. Il est également l’un des membres fondateurs de l’École de Nancy et participe notamment à l’exposition de 1904 à la Galerie Poirel (Nancy), où le mécène Eugène Corbin acquiert trois de ses toiles.",-,https://webmuseo.vosges.fr/ws/webmuseo/app/collection/record/172,,1969 Don Peccatte,,,,,,
