passation_hour,visitor_id,age,gender,city_country_residence,nationality,french_level,diploma,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,already_visited,number_visits,last_time_visited,group_or_alone,visit_duration,eye_problem,physical_sleepiness,mental_sleepiness,speed,current_emotion,motiv_curiosity,motiv_else,motiv_familyOut,motiv_price,motiv_schoolOut,motiv_weather,visitGoal_surprised,visitGoal_else,visitGoal_explore,visitGoal_inspiration,visitGoal_fun,visitGoal_interact,visitGoal_learn,visitGoal_noGoal,visitGoal_SeeAgain,visitGoal_mindOff
2019/02/18 11:18:59 AM UTC+2,201902181010,30,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,2,2,4,5,Yes,1,Several years ago,alone,60,Normal vision,1,3,4,3,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2019/02/18 11:45:19 AM UTC+2,201902181020,27,man,"Nancy, France",senegalese,Advanced,"Master's Degree, MS/MSc",3,4,3,2,3,Yes,2,A few weeks ago,alone,60,Normal vision,2,1,3,4,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
2019/02/18 1:05:25 PM UTC+2,201902181200,23,woman,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",1,4,2,2,4,Yes,2,Several years ago,group,unlimited,Normal vision,1,1,4,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2019/02/18 1:07:35 PM UTC+2,201902181210,21,man,"Nancy, France",french,Native/bilingual,"Youth Training, BTEC First Diploma, NVQ Level 1-2",1,5,5,1,5,Yes,2,Several years ago,group,unlimited,Normal vision,1,1,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019/02/18 3:07:06 PM UTC+2,201902181400,72,woman,"Nancy, France",french,Native/bilingual,PhD,2,2,2,4,1,Yes,20,A few weeks ago,group,90,Normal vision,1,1,3,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2019/02/18 3:10:11 PM UTC+2,201902181410,75,woman,"Nancy, France",french,Native/bilingual,PhD,4,4,4,2,4,Yes,50,A few weeks ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019/02/18 5:00:27 PM UTC+2,201902181600,55,woman,"Fuveau, France",french,Native/bilingual,BTEC Higher National Diploma,3,5,3,5,5,No,0,Never,alone,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,4,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
2019/02/18 5:30:00 PM UTC+2,201902181610,22,man,"Nancy, France",french,Native/bilingual,A levels,3,4,1,5,5,Yes,2,Several months ago,alone,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,2,1,4,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1
2019/02/20 11:28:43 AM UTC+2,201902201020,66,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",1,3,5,1,5,Yes,200,A few weeks ago,alone,30,"Normal vision with visual correction device (glasses, lenses)",1,1,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019/02/20 1:19:20 PM UTC+2,201902201210,37,man,"Nancy, France",french,Native/bilingual,PhD,3,5,2,2,3,Yes,2,Several years ago,alone,90,Normal vision,2,5,5,5,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
