,isovist_area_mean,isovist_perimeter_mean,isovist_area_min,isovist_area_max,isovist_area_range,speed,duration,nb_stops,nb_items,length,stop_intensity
isovist_area_mean,1.0,0.384725219892756,0.40848120349850037,0.5576918999469993,0.5378215923442013,-0.05535270895726327,0.07067756774232882,-0.17604192237612606,-0.15780505392482838,-0.02305724083161358,-0.4754782577368457
isovist_perimeter_mean,0.384725219892756,1.0,0.49282549974692597,-0.021213781327205913,-0.0460818059922052,0.037197985323917195,-0.07410889899472442,-0.10175549208081797,-0.0558740266542911,-0.18763124355150113,-0.1326300487313115
isovist_area_min,0.40848120349850037,0.49282549974692597,1.0,0.050732160461168574,0.00039296517546933617,-0.24668743838628232,0.1890346315278868,0.06974452141859622,-0.06315034778827355,-0.1884380163849816,-0.1258855161425866
isovist_area_max,0.5576918999469993,-0.021213781327205913,0.050732160461168574,1.0,0.9987321537161455,-0.06628626016381006,0.04092818705924749,-0.09413157200033433,-0.2739755876576557,-0.009959810005584971,-0.25360496097182145
isovist_area_range,0.5378215923442013,-0.0460818059922052,0.00039296517546933617,0.9987321537161455,1.0,-0.05393753969440603,0.03145273960605321,-0.09776837968082776,-0.271145752886904,-0.00047450754042996227,-0.2475867212969314
speed,-0.05535270895726327,0.037197985323917195,-0.24668743838628232,-0.06628626016381006,-0.05393753969440603,1.0,-0.7622524125265089,-0.7309347402041023,-0.21032874922342312,0.038348378326678874,-0.3729997344685528
duration,0.07067756774232882,-0.07410889899472442,0.1890346315278868,0.04092818705924749,0.03145273960605321,-0.7622524125265089,1.0,0.8847461842067091,0.5194274790609182,0.5158946017952672,0.1766626922475084
nb_stops,-0.17604192237612606,-0.10175549208081797,0.06974452141859622,-0.09413157200033433,-0.09776837968082776,-0.7309347402041023,0.8847461842067091,1.0,0.6614794880563146,0.4322719301045884,0.5858229695185783
nb_items,-0.15780505392482838,-0.0558740266542911,-0.06315034778827355,-0.2739755876576557,-0.271145752886904,-0.21032874922342312,0.5194274790609182,0.6614794880563146,1.0,0.6594447443644893,0.46067965879756473
length,-0.02305724083161358,-0.18763124355150113,-0.1884380163849816,-0.009959810005584971,-0.00047450754042996227,0.038348378326678874,0.5158946017952672,0.4322719301045884,0.6594447443644893,1.0,0.008716006559001703
stop_intensity,-0.4754782577368457,-0.1326300487313115,-0.1258855161425866,-0.25360496097182145,-0.2475867212969314,-0.3729997344685528,0.1766626922475084,0.5858229695185783,0.46067965879756473,0.008716006559001703,1.0
