trajectory_id,isovist_area_mean,isovist_area_min,isovist_area_max,isovist_perimeter_mean,isovist_perimeter_min,isovist_perimeter_max,n_points,isovist_area_range
201902181020,24458681.051383574,789993.3280952836,176126438.98975846,86428.61062311279,4862.523488775585,374502.304419665,41,175336445.66166317
201902181200,48804714.50552264,1530576.8214912638,213418457.91113475,90968.69477299563,9371.287178356693,373234.7144869473,64,211887881.08964348
201902181210,52458713.32207914,1457209.0704719545,249748898.24454153,93661.10900911815,7968.2934058796245,379478.1857254056,64,248291689.17406958
201902181410,29737839.949591022,587885.0132196972,213150958.4399262,78834.80427265551,6310.313144026299,374518.4815587534,63,212563073.42670652
201902181600,46257470.03162863,770098.3163676353,238444800.2950147,88044.32177624393,4827.691847670875,350322.8920300726,69,237674701.97864708
201902181610,58537273.70867901,1150180.962606549,195122411.73263454,109860.36244268507,8840.458870257637,368289.2235904024,13,193972230.770028
201902201020,24713098.04676965,1771797.6467339718,213737733.93084037,79780.33252309526,13570.938322826045,222070.45495564086,34,211965936.2841064
201902201210,35884835.005916536,1103126.5693996355,155095444.3937549,88361.77618108026,7877.540957944799,397513.3579396688,51,153992317.82435527
201902201400,29365740.371979047,826708.4135700511,196515861.2140058,68678.1033305646,6120.537649514509,371412.5818967723,120,195689152.80043575
201902201410,40007303.65022785,1358402.807102716,192697823.1534505,77292.3944236813,11947.793379181821,314394.08395002,90,191339420.34634778
201902201600,44987093.145204656,1458689.639351083,239839439.49816373,81175.85799745249,7994.906338991697,367252.0905463303,58,238380749.85881266
201902201610,44789861.11205117,822309.3866270173,186209306.64651036,88275.48997249905,5321.341174268908,395212.7349971707,49,185386997.25988334
201902211210,28550208.31186482,764074.001306047,188180071.23535106,80857.53794824533,6237.3898325387945,344380.98043517984,98,187415997.234045
201902211400,45559731.93858633,1011091.6945891306,237885452.0278199,81374.91075038699,12592.742531906195,346061.9551569784,57,236874360.33323076
201902211600,44037274.66563118,1214697.6363173244,422243201.89525294,85517.66074092741,10676.348943564888,422630.61539692956,28,421028504.25893563
201902211610,36751506.21273669,342803.51615533297,194701172.2890982,85176.57287315921,4417.918078104825,374695.18749837077,28,194358368.77294287
201902211700,46652918.01274446,982267.9418885133,253680845.96978056,96734.00922592645,12852.49452240991,337681.7168297035,33,252698578.02789205
