,distwall,zone_area_mean,passage_width_mean,pct_small_zone,pct_large_zone,speed,duration,nb_stops,nb_items,length,stop_intensity
distwall,1.0,0.07967903260469124,0.23957221010384677,0.0024242639535674614,0.1318590675779836,-0.027914182624576008,0.029506163750828044,0.13454285849550293,0.2583684331388868,0.02123603633373472,0.2293183154531037
zone_area_mean,0.07967903260469124,1.0,0.2815909399361714,-0.8144486017975775,0.8660529832955018,-0.10265453223929463,-0.03895304292365328,0.09523551205948372,-0.10767801235214852,-0.20779265795031884,0.3030696517718966
passage_width_mean,0.23957221010384677,0.2815909399361714,1.0,0.0745233165296101,0.18196793221280477,-0.0050352049825759864,0.005565505844730975,-0.1009836063255903,-0.16095593356684954,-0.07871676955740867,-0.22493806069528616
pct_small_zone,0.0024242639535674614,-0.8144486017975775,0.0745233165296101,1.0,-0.6408446890394826,0.10515126773628226,0.01861165189598267,-0.12392078310668989,0.006861555839941422,0.14034047740836922,-0.35497150803038596
pct_large_zone,0.1318590675779836,0.8660529832955018,0.18196793221280477,-0.6408446890394826,1.0,-0.043955874929132104,-0.059985728171027965,0.09616411018276363,-0.13511537131465226,-0.14921295635534787,0.33285105684304855
speed,-0.027914182624576008,-0.10265453223929463,-0.0050352049825759864,0.10515126773628226,-0.043955874929132104,1.0,-0.7622524125265089,-0.7309347402041023,-0.21032874922342312,0.038348378326678874,-0.3729997344685528
duration,0.029506163750828044,-0.03895304292365328,0.005565505844730975,0.01861165189598267,-0.059985728171027965,-0.7622524125265089,1.0,0.8847461842067091,0.5194274790609182,0.5158946017952672,0.1766626922475084
nb_stops,0.13454285849550293,0.09523551205948372,-0.1009836063255903,-0.12392078310668989,0.09616411018276363,-0.7309347402041023,0.8847461842067091,1.0,0.6614794880563146,0.4322719301045884,0.5858229695185783
nb_items,0.2583684331388868,-0.10767801235214852,-0.16095593356684954,0.006861555839941422,-0.13511537131465226,-0.21032874922342312,0.5194274790609182,0.6614794880563146,1.0,0.6594447443644893,0.46067965879756473
length,0.02123603633373472,-0.20779265795031884,-0.07871676955740867,0.14034047740836922,-0.14921295635534787,0.038348378326678874,0.5158946017952672,0.4322719301045884,0.6594447443644893,1.0,0.008716006559001703
stop_intensity,0.2293183154531037,0.3030696517718966,-0.22493806069528616,-0.35497150803038596,0.33285105684304855,-0.3729997344685528,0.1766626922475084,0.5858229695185783,0.46067965879756473,0.008716006559001703,1.0
