feature,behavior_type,mean,median,n
H10_mean_dist_to_exit,Активный обходчик,4000.896571,4113.692174,7
H10_mean_dist_to_exit,Быстрый,3743.634082,3710.589527,13
H10_mean_dist_to_exit,Исследователь,3764.363907,3936.269859,14
H10_mean_dist_to_exit,Медленный,3838.26943,3884.96491,11
H10_mean_path_remaining,Активный обходчик,26615.178365,22097.633776,7
H10_mean_path_remaining,Быстрый,16951.559292,14522.073549,13
H10_mean_path_remaining,Исследователь,17850.914649,18289.27245,14
H10_mean_path_remaining,Медленный,22929.059356,24244.001851,11
H11_mean_dist_to_staircase,Активный обходчик,1141.930769,1147.353769,7
H11_mean_dist_to_staircase,Быстрый,1197.888769,1213.346213,13
H11_mean_dist_to_staircase,Исследователь,1134.324647,1156.011509,14
H11_mean_dist_to_staircase,Медленный,1105.734622,1105.195528,11
H11_min_dist_to_staircase,Активный обходчик,47.907645,44.542513,7
H11_min_dist_to_staircase,Быстрый,59.846476,49.710543,13
H11_min_dist_to_staircase,Исследователь,68.874009,49.299011,14
H11_min_dist_to_staircase,Медленный,81.892476,59.090412,11
H11_pct_near_staircase,Активный обходчик,0.090001,0.094675,7
H11_pct_near_staircase,Быстрый,0.098254,0.088957,13
H11_pct_near_staircase,Исследователь,0.101074,0.092497,14
H11_pct_near_staircase,Медленный,0.113184,0.098867,11
H12_n_turns,Активный обходчик,107.285714,98.0,7
H12_n_turns,Быстрый,73.153846,61.0,13
H12_n_turns,Исследователь,86.428571,85.0,14
H12_n_turns,Медленный,101.0,105.0,11
H12_turns_per_length,Активный обходчик,0.002455,0.002432,7
H12_turns_per_length,Быстрый,0.002222,0.002044,13
H12_turns_per_length,Исследователь,0.0024,0.002479,14
H12_turns_per_length,Медленный,0.002434,0.002362,11
H12_turns_per_minute,Активный обходчик,1.934958,1.930926,7
H12_turns_per_minute,Быстрый,1.799821,1.589537,13
H12_turns_per_minute,Исследователь,1.329674,1.310746,14
H12_turns_per_minute,Медленный,1.566793,1.49345,11
H2_min_width,Активный обходчик,0.501562,0.514884,7
H2_min_width,Быстрый,0.346475,0.312377,13
H2_min_width,Исследователь,0.505184,0.560386,14
H2_min_width,Медленный,0.485932,0.565678,11
H2_pct_narrow,Активный обходчик,0.203458,0.204188,7
H2_pct_narrow,Быстрый,0.272315,0.307971,13
H2_pct_narrow,Исследователь,0.257982,0.251542,14
H2_pct_narrow,Медленный,0.266114,0.273632,11
H3_mean_connectivity,Активный обходчик,5.835831,5.8726,7
H3_mean_connectivity,Быстрый,5.56473,5.533742,13
H3_mean_connectivity,Исследователь,5.829217,5.816021,14
H3_mean_connectivity,Медленный,5.791388,5.689055,11
H3_pct_low_connectivity,Активный обходчик,0.003294,0.0,7
H3_pct_low_connectivity,Быстрый,0.001517,0.0,13
H3_pct_low_connectivity,Исследователь,0.005245,0.0,14
H3_pct_low_connectivity,Медленный,0.032394,0.0,11
H4_max_depth,Активный обходчик,1.0,1.0,7
H4_max_depth,Быстрый,1.0,1.0,13
H4_max_depth,Исследователь,1.0,1.0,14
H4_max_depth,Медленный,1.0,1.0,11
H4_mean_depth,Активный обходчик,0.393528,0.403123,7
H4_mean_depth,Быстрый,0.476965,0.4684,13
H4_mean_depth,Исследователь,0.490806,0.488404,14
H4_mean_depth,Медленный,0.426044,0.394361,11
H5_mean_aspect_ratio,Активный обходчик,1.663178,1.624926,7
H5_mean_aspect_ratio,Быстрый,1.537317,1.521121,13
H5_mean_aspect_ratio,Исследователь,1.545735,1.524,14
H5_mean_aspect_ratio,Медленный,1.546612,1.486496,11
H5_pct_corridor,Активный обходчик,0.134836,0.13215,7
H5_pct_corridor,Быстрый,0.079907,0.06338,13
H5_pct_corridor,Исследователь,0.075564,0.081599,14
H5_pct_corridor,Медленный,0.083605,0.062195,11
H6_mean_exhibit_density,Активный обходчик,13.312496,13.590355,7
H6_mean_exhibit_density,Быстрый,11.261245,10.351935,13
H6_mean_exhibit_density,Исследователь,12.340634,12.820307,14
H6_mean_exhibit_density,Медленный,10.585552,10.059105,11
