cell_x,cell_y,center_x_m,center_y_m,density,time_of_presence
34,0,34.809,1.689,7,10.0
35,0,35.809,1.689,9,6.0
36,0,36.809,1.689,28,36.0
37,0,37.809,1.689,41,44.0
38,0,38.809,1.689,52,66.0
39,0,39.809,1.689,30,26.0
40,0,40.809,1.689,23,26.0
41,0,41.809,1.689,32,50.0
42,0,42.809,1.689,39,62.0
43,0,43.809,1.689,14,14.0
44,0,44.809,1.689,4,2.0
45,0,45.809,1.689,2,0.0
46,0,46.809,1.689,1,0.0
47,0,47.809,1.689,1,0.0
34,1,34.809,2.689,16,22.0
35,1,35.809,2.689,19,18.0
36,1,36.809,2.689,20,12.0
37,1,37.809,2.689,1,0.0
38,1,38.809,2.689,2,0.0
39,1,39.809,2.689,12,16.0
40,1,40.809,2.689,24,30.0
41,1,41.809,2.689,38,48.0
42,1,42.809,2.689,18,18.0
43,1,43.809,2.689,17,10.0
44,1,44.809,2.689,37,48.0
45,1,45.809,2.689,44,62.0
46,1,46.809,2.689,32,48.0
47,1,47.809,2.689,34,38.0
48,1,48.809,2.689,23,22.0
49,1,49.809,2.689,27,30.0
50,1,50.809,2.689,32,46.0
51,1,51.809,2.689,6,4.0
52,1,52.809,2.689,9,12.0
53,1,53.809,2.689,12,16.0
54,1,54.809,2.689,3,4.0
34,2,34.809,3.689,6,6.0
35,2,35.809,3.689,17,12.0
36,2,36.809,3.689,14,12.0
39,2,39.809,3.689,2,0.0
40,2,40.809,3.689,14,10.0
41,2,41.809,3.689,5,2.0
42,2,42.809,3.689,10,6.0
43,2,43.809,3.689,4,2.0
44,2,44.809,3.689,10,8.0
45,2,45.809,3.689,11,6.0
46,2,46.809,3.689,5,0.0
47,2,47.809,3.689,8,2.0
48,2,48.809,3.689,12,10.0
49,2,49.809,3.689,13,10.0
50,2,50.809,3.689,12,6.0
51,2,51.809,3.689,35,46.0
52,2,52.809,3.689,46,58.0
53,2,53.809,3.689,31,32.0
54,2,54.809,3.689,44,46.0
55,2,55.809,3.689,48,48.0
56,2,56.809,3.689,56,46.0
57,2,57.809,3.689,117,164.0
58,2,58.809,3.689,187,298.0
59,2,59.809,3.689,92,130.0
60,2,60.809,3.689,43,48.0
61,2,61.809,3.689,6,4.0
64,2,64.809,3.689,8,8.0
65,2,65.809,3.689,36,54.0
66,2,66.809,3.689,25,32.0
67,2,67.809,3.689,2,2.0
13,3,13.809,4.689,1,0.0
16,3,16.809,4.689,1,0.0
20,3,20.809,4.689,1,0.0
35,3,35.809,4.689,23,22.0
36,3,36.809,4.689,13,6.0
37,3,37.809,4.689,25,26.0
38,3,38.809,4.689,13,16.0
39,3,39.809,4.689,9,10.0
40,3,40.809,4.689,14,14.0
41,3,41.809,4.689,9,2.0
42,3,42.809,4.689,9,6.0
43,3,43.809,4.689,20,20.0
44,3,44.809,4.689,20,16.0
45,3,45.809,4.689,8,0.0
46,3,46.809,4.689,23,34.0
47,3,47.809,4.689,23,22.0
48,3,48.809,4.689,21,16.0
49,3,49.809,4.689,29,32.0
50,3,50.809,4.689,51,74.0
51,3,51.809,4.689,48,66.0
52,3,52.809,4.689,30,38.0
53,3,53.809,4.689,16,8.0
54,3,54.809,4.689,26,18.0
55,3,55.809,4.689,28,20.0
56,3,56.809,4.689,22,28.0
57,3,57.809,4.689,26,40.0
58,3,58.809,4.689,11,14.0
59,3,59.809,4.689,2,0.0
60,3,60.809,4.689,8,2.0
61,3,61.809,4.689,44,52.0
