cell_x,cell_y,center_x_m,center_y_m,density,time_of_presence
36,0,36.5,0.626,4,1.51
36,1,36.5,1.626,1,0.0
49,1,49.5,1.626,11,4.52
35,2,35.5,2.626,2,0.0
48,2,48.5,2.626,1,0.0
49,2,49.5,2.626,3,0.0
55,2,55.5,2.626,29,12.07
56,2,56.5,2.626,3,0.0
57,2,57.5,2.626,1,0.0
58,2,58.5,2.626,3,0.0
59,2,59.5,2.626,48,20.64
60,2,60.5,2.626,1,0.0
61,2,61.5,2.626,1,0.0
35,3,35.5,3.626,9,4.02
48,3,48.5,3.626,1,0.0
53,3,53.5,3.626,1,0.0
54,3,54.5,3.626,1,0.0
55,3,55.5,3.626,1,0.0
57,3,57.5,3.626,2,0.0
58,3,58.5,3.626,1,0.0
59,3,59.5,3.626,6,0.0
60,3,60.5,3.626,2,0.0
61,3,61.5,3.626,3,0.0
62,3,62.5,3.626,25,10.06
64,3,64.5,3.626,107,46.74
65,3,65.5,3.626,32,9.05
66,3,66.5,3.626,71,29.19
67,3,67.5,3.626,60,25.14
68,3,68.5,3.626,39,14.09
69,3,69.5,3.626,45,18.11
35,4,35.5,4.626,1,0.0
47,4,47.5,4.626,1,0.0
49,4,49.5,4.626,1,0.0
50,4,50.5,4.626,1,0.0
51,4,51.5,4.626,1,0.0
52,4,52.5,4.626,1,0.0
53,4,53.5,4.626,1,0.0
55,4,55.5,4.626,2,0.0
56,4,56.5,4.626,5,0.0
57,4,57.5,4.626,4,0.0
58,4,58.5,4.626,45,19.11
59,4,59.5,4.626,2,0.0
60,4,60.5,4.626,5,0.0
61,4,61.5,4.626,4,0.0
62,4,62.5,4.626,4,0.0
64,4,64.5,4.626,82,31.71
65,4,65.5,4.626,5,0.0
67,4,67.5,4.626,1,0.0
68,4,68.5,4.626,2,0.0
69,4,69.5,4.626,51,19.13
17,5,17.5,5.626,1,0.0
18,5,18.5,5.626,1,0.0
24,5,24.5,5.626,1,0.0
25,5,25.5,5.626,1,0.0
35,5,35.5,5.626,1,0.0
46,5,46.5,5.626,1,0.0
47,5,47.5,5.626,1,0.0
50,5,50.5,5.626,2,0.0
53,5,53.5,5.626,1,0.0
54,5,54.5,5.626,46,15.57
55,5,55.5,5.626,33,5.03
56,5,56.5,5.626,16,1.01
57,5,57.5,5.626,61,25.19
58,5,58.5,5.626,42,16.09
59,5,59.5,5.626,32,12.57
60,5,60.5,5.626,44,17.12
61,5,61.5,5.626,9,0.5
62,5,62.5,5.626,1,0.0
64,5,64.5,5.626,92,38.2
65,5,65.5,5.626,3,0.0
66,5,66.5,5.626,1,0.0
67,5,67.5,5.626,1,0.0
68,5,68.5,5.626,3,0.0
69,5,69.5,5.626,52,20.11
19,6,19.5,6.626,1,0.0
21,6,21.5,6.626,1,0.0
22,6,22.5,6.626,1,0.0
26,6,26.5,6.626,1,0.0
35,6,35.5,6.626,2,0.0
46,6,46.5,6.626,1,0.0
48,6,48.5,6.626,1,0.0
49,6,49.5,6.626,15,0.0
50,6,50.5,6.626,77,31.16
51,6,51.5,6.626,82,33.16
52,6,52.5,6.626,125,51.84
53,6,53.5,6.626,138,53.88
54,6,54.5,6.626,102,24.63
55,6,55.5,6.626,6,0.0
56,6,56.5,6.626,46,18.12
57,6,57.5,6.626,10,0.5
58,6,58.5,6.626,3,0.0
59,6,59.5,6.626,2,0.0
60,6,60.5,6.626,4,0.0
61,6,61.5,6.626,6,0.0
62,6,62.5,6.626,3,0.0
63,6,63.5,6.626,38,15.08
64,6,64.5,6.626,31,8.56
65,6,65.5,6.626,5,0.0
66,6,66.5,6.626,2,0.0
67,6,67.5,6.626,2,0.0
69,6,69.5,6.626,49,19.1
17,7,17.5,7.626,1,0.0
21,7,21.5,7.626,10,4.53
26,7,26.5,7.626,5,0.0
43,7,43.5,7.626,16,7.04
44,7,44.5,7.626,17,7.54
45,7,45.5,7.626,3,0.0
48,7,48.5,7.626,10,0.0
49,7,49.5,7.626,10,0.0
50,7,50.5,7.626,26,5.04
51,7,51.5,7.626,61,22.64
52,7,52.5,7.626,121,50.32
53,7,53.5,7.626,73,23.2
54,7,54.5,7.626,63,5.52
55,7,55.5,7.626,5,0.0
56,7,56.5,7.626,15,2.02
57,7,57.5,7.626,1,0.0
58,7,58.5,7.626,1,0.0
59,7,59.5,7.626,2,0.0
60,7,60.5,7.626,1,0.0
62,7,62.5,7.626,4,0.0
63,7,63.5,7.626,9,0.0
64,7,64.5,7.626,39,14.62
65,7,65.5,7.626,4,0.0
66,7,66.5,7.626,1,0.0
68,7,68.5,7.626,1,0.0
69,7,69.5,7.626,30,11.06
25,8,25.5,8.626,1,0.0
26,8,26.5,8.626,2,0.0
35,8,35.5,8.626,2,0.0
39,8,39.5,8.626,7,3.02
40,8,40.5,8.626,9,4.03
41,8,41.5,8.626,1,0.0
42,8,42.5,8.626,1,0.0
43,8,43.5,8.626,5,0.5
44,8,44.5,8.626,3,0.0
45,8,45.5,8.626,3,0.0
