,age,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,physical_sleepiness,mental_sleepiness,speed,current_emotion,satisfaction,goals_reached,device_trouble,crowd_trouble,dist_sensation,end_visit_physical_sleepiness,end_visit_mental_sleepiness,panel_interest,visit_duration_limited,gender_code
age,1.0,0.04172804771298278,-0.030925286296433135,0.07120711668703082,-0.02094202600531732,-0.02255267038162792,-0.11627149015952286,-0.18639399690937228,0.06586776505454317,0.19070335971402871,-0.2594151761392524,-0.23041270502375774,-0.04809591972032432,0.05177245056934039,-0.10560610339133616,-0.1919931974224855,-0.12822011095481858,-0.1483564827703179,0.3161792724798939,-0.07245670417580168
one_artwork_interest,0.04172804771298278,1.0,-0.04370811143237957,-0.2135563829391577,0.16104836187303606,-0.08097450186589074,-0.0967414955041082,0.06046733448946472,0.2653830309450928,-0.08771770229740741,-0.06985198734509777,-0.02115750478472189,0.30279484007274315,0.13055717058457386,0.14340935957250558,0.1982185496211982,0.14506345749470934,0.085989295700926,0.04608764920744345,0.09944515055551617
discovery_interest,-0.030925286296433135,-0.04370811143237957,1.0,0.20158791845884744,-0.06096296566838126,0.13984241230468847,-0.1454524434123497,-0.0970611646101242,-0.017876959472836493,0.17779503586023568,0.074768557488533,0.0543199264948179,-0.08282041371542025,-0.005536116451400051,0.051817445421566515,-0.09492350055019796,-0.13614072213533313,0.004108500660874788,-0.284628319815875,0.11501818052508431
crowd_tolerance,0.07120711668703082,-0.2135563829391577,0.20158791845884744,1.0,-0.32159579182424564,0.051441233846104176,-0.07710127668481706,-0.21240180156101088,-0.0947558059634316,0.25470066644181794,0.09890570062249845,0.07676947949614338,-0.14952981598714732,-0.12287415148499514,-0.07530298176666042,-0.08035638767385585,-0.20390779008657536,0.03808664064709752,-0.12361852736065544,0.09315240093650402
lose_interest_with_crowd,-0.02094202600531732,0.16104836187303606,-0.06096296566838126,-0.32159579182424564,1.0,-0.04328373582386396,0.10354705421775873,0.12295198404751412,-0.08348983606326738,-0.22370858841212288,-0.09579237420848769,0.1867135353549877,0.19140216743957106,-0.0023219185894507314,-0.01245200788895319,0.07142377187727082,0.225556068564323,0.03503754859705127,0.024374333379176515,0.12795810710742606
distance_tolerance,-0.02255267038162792,-0.08097450186589074,0.13984241230468847,0.051441233846104176,-0.04328373582386396,1.0,0.06604726163762864,0.16689081550495558,-0.001483206277223124,-0.030345338219344382,0.12400851533278515,0.11533158903106641,-0.14559267824061478,-0.040419951516229104,-0.16571318682700031,-0.08117325120067696,-0.006062627614362205,0.044055805331683656,-0.17982776198869002,-0.08262717393298806
physical_sleepiness,-0.11627149015952286,-0.0967414955041082,-0.1454524434123497,-0.07710127668481706,0.10354705421775873,0.06604726163762864,1.0,0.5236478701538435,-0.05988714519572778,-0.28676019407140113,-0.020258476233536254,-0.01829433052771073,0.09637699919228772,0.16225587103901365,0.1913421367886231,0.25602850654703935,0.26587076309031354,0.06981226194989226,-0.03108477458054408,-0.04224309240884105
mental_sleepiness,-0.18639399690937228,0.06046733448946472,-0.0970611646101242,-0.21240180156101088,0.12295198404751412,0.16689081550495558,0.5236478701538435,1.0,0.03050516459467617,-0.3037435035450912,-0.08702142216438921,0.013668643671525543,0.15616128392103976,0.17510287697994015,0.026169337628587475,0.10460989734027332,0.28681202337031797,-0.06484672262575505,-0.007807362984602335,-0.05333049215270247
speed,0.06586776505454317,0.2653830309450928,-0.017876959472836493,-0.0947558059634316,-0.08348983606326738,-0.001483206277223124,-0.05988714519572778,0.03050516459467617,1.0,0.11833993297118185,-0.018392548520007147,0.0596948556989148,-0.05629172901760928,0.030952532681916074,0.13211777185587478,0.08331055674921091,0.1499633591658198,0.1373988499544058,-0.01999626541931196,0.11114206589475283
current_emotion,0.19070335971402871,-0.08771770229740741,0.17779503586023568,0.25470066644181794,-0.22370858841212288,-0.030345338219344382,-0.28676019407140113,-0.3037435035450912,0.11833993297118185,1.0,0.07426120417121576,0.08635553510935877,-0.2784738940520383,-0.15505911842375503,0.03424039986098786,-0.1309335560158836,-0.16123874261015148,0.015794406771757016,-0.14217272502107575,-0.03875159490245259
