,speed_track,nb_stops,duration,nb_items,length,stop_intensity,age,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,physical_sleepiness,mental_sleepiness,current_emotion,speed_pre,satisfaction,goals_reached,device_trouble,crowd_trouble,dist_sensation,end_visit_physical_sleepiness,end_visit_mental_sleepiness,panel_interest,visit_duration_limited,gender_code
speed_track,1.0,-0.7309347402041023,-0.7622524125265089,-0.21032874922342312,0.038348378326678874,-0.3729997344685528,0.031090852860004542,-0.11228977957710075,0.07435815229554399,-0.1335391342642753,0.05200359872310042,0.08068885942195979,-0.16327055208072483,0.03363910641943474,-0.03401658108419153,-0.22588199813414886,-0.16068623756426997,-0.20099821605667148,-0.07234457062787526,-0.24519459323283227,-0.3966917055340693,-0.41048569759174025,-0.12696271506771198,-0.5123508280843307,-0.219406946768218,0.06719434433806505
nb_stops,-0.7309347402041023,1.0,0.8847461842067093,0.6614794880563146,0.4322719301045884,0.5858229695185783,0.05061171704219711,0.1991084133671701,0.10570261515634836,-0.03139375453723953,0.10684157719617385,0.16627789401855597,-0.014257169261232694,-0.0714997184440322,-0.004662294355734071,0.2654459870189026,0.1396697012977243,0.22612140402026554,0.15262860998520936,0.15554214736813682,0.3345088488978589,0.37088023985008384,0.16067237968874554,0.47946294631615977,0.07868412077095908,0.06333972843983911
duration,-0.7622524125265089,0.8847461842067093,1.0,0.5194274790609182,0.5158946017952672,0.1766626922475084,-0.09518340408097918,0.17523793691748155,0.06786030203061755,0.009724641815671882,0.04631906563746637,0.1624448044303836,0.017929873680209794,0.016029276791656007,-0.0709713996127206,0.18235796918127706,0.18628884660604966,0.23317649101464444,0.1486892074643695,0.22530526712434576,0.2909986936665023,0.35761639705944515,0.11925270542626269,0.39530231677165417,0.1865567251534687,0.03429937768980092
nb_items,-0.21032874922342312,0.6614794880563146,0.5194274790609182,1.0,0.6594447443644893,0.46067965879756473,0.24353473163136044,0.28960187863142556,0.2518814135649411,-0.026658766802420252,0.15339098300615134,0.2371681919632259,-0.01932995947535615,0.09114898256795335,0.019880552498665185,0.32913889888693393,-0.020152753671042283,0.08268495005032607,0.13215810603254707,-0.0724063738309943,0.1025567292995194,0.20289489644964898,0.115859980533427,0.1394377399091899,-0.043333553121341316,0.22162614743586054
length,0.038348378326678874,0.4322719301045884,0.5158946017952672,0.6594447443644893,1.0,0.008716006559001703,-0.07927280185323278,0.1406148729047377,0.15585826065797867,-0.12284480722773113,0.05978145773077165,0.2584188766601031,-0.13560855484882778,0.07886779787192608,-0.12099990761711,0.2116484051469664,0.09434324043691823,0.24934023977458594,0.036963830926567035,0.05179193927495632,-0.039515197745331646,0.07229611082825438,-0.07386232896546312,0.0026285135998770507,-0.06889363941202661,0.13411862612040473
stop_intensity,-0.3729997344685528,0.5858229695185783,0.1766626922475084,0.46067965879756473,0.008716006559001703,1.0,0.23800123416167054,0.09702332812586303,0.08395021218376696,-0.008504188950413433,0.07650661687343419,-0.011636363296559498,0.0022540739883903944,-0.16697938303117943,0.13661266496192592,0.34595289375021604,0.026534459235702777,0.18909363845533264,0.010120896330632404,-0.02925043135992255,0.26951887542043274,0.2031266640475199,0.057127390923430374,0.38599221350997526,-0.15158384182385473,0.03771244361328805
age,0.031090852860004542,0.05061171704219711,-0.09518340408097918,0.24353473163136044,-0.07927280185323278,0.23800123416167054,1.0,0.08817188909867597,0.12288529580028833,0.35686008490961063,-0.03986842113669007,0.23598137709844125,-0.28089472637484403,-0.19561535165519048,0.27435295297628537,0.15421402531095704,-0.166538573048125,-0.1231632578822859,-0.2981381427422866,-0.07073485515477414,-0.20717150846292565,-0.18277699754531235,-0.1693980247704643,-0.040548726193278053,0.09436856462089156,-0.1358258054406151
one_artwork_interest,-0.11228977957710075,0.1991084133671701,0.17523793691748155,0.28960187863142556,0.1406148729047377,0.09702332812586303,0.08817188909867597,1.0,0.032626981686124365,-0.18813096084102246,0.30970471129241994,-0.1447685553193454,-0.10456273907141304,0.09281629633240529,-0.1417426426013065,0.282060296833361,-0.03155117358413462,0.023655566226410067,0.34676542257855736,0.23921482371303412,0.22392665828776498,0.3518253334048373,0.23876413412484504,0.1565391468754845,-0.10884081282824017,0.17182047578530185
discovery_interest,0.07435815229554399,0.10570261515634836,0.06786030203061755,0.2518814135649411,0.15585826065797867,0.08395021218376696,0.12288529580028833,0.032626981686124365,1.0,0.22060402314808492,-0.00969407802702177,0.05925203494308716,-0.14501890310092988,0.01912620379333442,-0.17685710316765696,0.05449012187663394,-0.1279514336465681,-0.007696717489635259,0.042632445042467,-0.0778323756797909,0.07338481135523166,-0.15314030789724406,-0.23616463926754228,3.760339318649578e-17,-0.07363252599704598,0.14718041767334658
crowd_tolerance,-0.1335391342642753,-0.03139375453723953,0.009724641815671882,-0.026658766802420252,-0.12284480722773113,-0.008504188950413433,0.35686008490961063,-0.18813096084102246,0.22060402314808492,1.0,-0.4003746305013579,0.09337867684044045,-0.08210708272559611,-0.11641079340480304,0.3005624430991785,0.07580610665480605,0.04341579046067276,0.012046045001718783,-0.23080474944978377,0.056073371615206064,-0.22332670419159598,-0.30470331110251264,-0.3956814401689351,0.031553421547412926,-0.019869211888393752,-0.0794119044860719
lose_interest_with_crowd,0.05200359872310042,0.10684157719617385,0.04631906563746637,0.15339098300615134,0.05978145773077165,0.07650661687343419,-0.03986842113669007,0.30970471129241994,-0.00969407802702177,-0.4003746305013579,1.0,-0.07577611089176396,0.3242278252553123,0.08247695399166376,-0.25856753367326374,-0.2322105643992961,-0.11280570836075937,-0.06677079774934735,0.28382223412633106,0.08235690382089807,0.03440939132243004,0.25071052388002274,0.25045285155144603,0.07671030267252162,-0.09789718465914451,0.30412445454020826
distance_tolerance,0.08068885942195979,0.16627789401855597,0.1624448044303836,0.2371681919632259,0.2584188766601031,-0.011636363296559498,0.23598137709844125,-0.1447685553193454,0.05925203494308716,0.09337867684044045,-0.07577611089176396,1.0,-0.2483713181676009,-0.10378832321207404,0.054840849710707885,-0.13658088908602084,0.1651146590134616,0.16467827330246426,-0.09696532139667202,-0.2835827575188097,-0.3202157885052821,-0.12090149641361018,-0.13026715509085815,-0.24381128265362262,-0.10432040099041744,-0.18280814727839023
physical_sleepiness,-0.16327055208072483,-0.014257169261232694,0.017929873680209794,-0.01932995947535615,-0.13560855484882778,0.0022540739883903944,-0.28089472637484403,-0.10456273907141304,-0.14501890310092988,-0.08210708272559611,0.3242278252553123,-0.2483713181676009,1.0,0.4050835273035231,-0.15834289428542875,-0.0948905127954004,-0.13549740090910825,-0.11899924612463403,0.16099485001391708,-0.00235493026212792,0.21783104924682242,0.24375515231350325,0.3058823738742201,-0.02561973177788273,0.013443969366197565,0.22116293423234562
mental_sleepiness,0.03363910641943474,-0.0714997184440322,0.016029276791656007,0.09114898256795335,0.07886779787192608,-0.16697938303117943,-0.19561535165519048,0.09281629633240529,0.01912620379333442,-0.11641079340480304,0.08247695399166376,-0.10378832321207404,0.4050835273035231,1.0,-0.00965579972008882,0.02181649341207621,-0.14056622769696883,1.539555882625744e-16,0.19806450596851155,-0.013355208399911587,0.19365052179871836,0.11284708216864163,0.31639378519038547,-0.17093392757666911,0.15248605489095546,0.02597488164996386
current_emotion,-0.03401658108419153,-0.004662294355734071,-0.0709713996127206,0.019880552498665185,-0.12099990761711,0.13661266496192592,0.27435295297628537,-0.1417426426013065,-0.17685710316765696,0.3005624430991785,-0.25856753367326374,0.054840849710707885,-0.15834289428542875,-0.00965579972008882,1.0,0.28426126771287985,0.03781220567029645,0.1492094193905977,-0.2769543661024923,-0.07521881982490965,0.11563490211889109,-0.05169968292791803,0.010088432082344754,-0.04885491159343534,-0.07178260231314584,-0.07331685413285159
speed_pre,-0.22588199813414886,0.2654459870189026,0.18235796918127706,0.32913889888693393,0.2116484051469664,0.34595289375021604,0.15421402531095704,0.282060296833361,0.05449012187663394,0.07580610665480605,-0.2322105643992961,-0.13658088908602084,-0.0948905127954004,0.02181649341207621,0.28426126771287985,1.0,-0.008899333386581951,0.23353036110538372,-0.08624787292927823,-0.010146316418562217,0.22702382986532893,0.12109787528103776,0.22586772914895817,0.23456535311674512,-0.13901738252340104,0.10473594642760158
satisfaction,-0.16068623756426997,0.1396697012977243,0.18628884660604966,-0.020152753671042283,0.09434324043691823,0.026534459235702777,-0.166538573048125,-0.03155117358413462,-0.1279514336465681,0.04341579046067276,-0.11280570836075937,0.1651146590134616,-0.13549740090910825,-0.14056622769696883,0.03781220567029645,-0.008899333386581951,1.0,0.5996027586807473,0.09577046518523775,-0.04903043068281239,-0.13238216284359297,-0.042810057595701306,-0.19092366732861846,0.14224302131848524,-0.16421264059393353,-0.15278044515357547
goals_reached,-0.20099821605667148,0.22612140402026554,0.23317649101464444,0.08268495005032607,0.24934023977458594,0.18909363845533264,-0.1231632578822859,0.023655566226410067,-0.007696717489635259,0.012046045001718783,-0.06677079774934735,0.16467827330246426,-0.11899924612463403,1.539555882625744e-16,0.1492094193905977,0.23353036110538372,0.5996027586807473,1.0,0.02099535976066289,-0.13865870578628792,0.1354340847214903,0.10898791463690909,-0.1488354591265543,0.05262189379491891,-0.14727130568549715,-0.044518704219611904
device_trouble,-0.07234457062787526,0.15262860998520936,0.1486892074643695,0.13215810603254707,0.036963830926567035,0.010120896330632404,-0.2981381427422866,0.34676542257855736,0.042632445042467,-0.23080474944978377,0.28382223412633106,-0.09696532139667202,0.16099485001391708,0.19806450596851155,-0.2769543661024923,-0.08624787292927823,0.09577046518523775,0.02099535976066289,1.0,0.19321671948816052,0.14547421612626035,0.5621613605357818,0.1956971829905671,-0.02444233999986387,-0.17635931962021842,0.02863743649714925
crowd_trouble,-0.24519459323283227,0.15554214736813682,0.22530526712434576,-0.0724063738309943,0.05179193927495632,-0.02925043135992255,-0.07073485515477414,0.23921482371303412,-0.0778323756797909,0.056073371615206064,0.08235690382089807,-0.2835827575188097,-0.00235493026212792,-0.013355208399911587,-0.07521881982490965,-0.010146316418562217,-0.04903043068281239,-0.13865870578628792,0.19321671948816052,1.0,0.27406832298136646,0.20992964927365215,0.06913371770207094,0.084465754339867,0.01772938177000369,0.24480501365802027
dist_sensation,-0.3966917055340693,0.3345088488978589,0.2909986936665023,0.1025567292995194,-0.039515197745331646,0.26951887542043274,-0.20717150846292565,0.22392665828776498,0.07338481135523166,-0.22332670419159598,0.03440939132243004,-0.3202157885052821,0.21783104924682242,0.19365052179871836,0.11563490211889109,0.22702382986532893,-0.13238216284359297,0.1354340847214903,0.14547421612626035,0.27406832298136646,1.0,0.4385561579357389,0.1392188168404088,0.1562616455287543,0.21363905032854438,0.3961352657004832
end_visit_physical_sleepiness,-0.41048569759174025,0.37088023985008384,0.35761639705944515,0.20289489644964898,0.07229611082825438,0.2031266640475199,-0.18277699754531235,0.3518253334048373,-0.15314030789724406,-0.30470331110251264,0.25071052388002274,-0.12090149641361018,0.24375515231350325,0.11284708216864163,-0.05169968292791803,0.12109787528103776,-0.042810057595701306,0.10898791463690909,0.5621613605357818,0.20992964927365215,0.4385561579357389,1.0,0.2647463783580297,0.14274152278283234,0.036702812166222336,0.2338529789827011
end_visit_mental_sleepiness,-0.12696271506771198,0.16067237968874554,0.11925270542626269,0.115859980533427,-0.07386232896546312,0.057127390923430374,-0.1693980247704643,0.23876413412484504,-0.23616463926754228,-0.3956814401689351,0.25045285155144603,-0.13026715509085815,0.3058823738742201,0.31639378519038547,0.010088432082344754,0.22586772914895817,-0.19092366732861846,-0.1488354591265543,0.1956971829905671,0.06913371770207094,0.1392188168404088,0.2647463783580297,1.0,-0.0034500862024953245,0.07314156472114589,0.15786796183924143
panel_interest,-0.5123508280843307,0.47946294631615977,0.39530231677165417,0.1394377399091899,0.0026285135998770507,0.38599221350997526,-0.040548726193278053,0.1565391468754845,3.760339318649578e-17,0.031553421547412926,0.07671030267252162,-0.24381128265362262,-0.02561973177788273,-0.17093392757666911,-0.04885491159343534,0.23456535311674512,0.14224302131848524,0.05262189379491891,-0.02444233999986387,0.084465754339867,0.1562616455287543,0.14274152278283234,-0.0034500862024953245,1.0,0.01928812979475504,0.0977856280118132
visit_duration_limited,-0.219406946768218,0.07868412077095908,0.1865567251534687,-0.043333553121341316,-0.06889363941202661,-0.15158384182385473,0.09436856462089156,-0.10884081282824017,-0.07363252599704598,-0.019869211888393752,-0.09789718465914451,-0.10432040099041744,0.013443969366197565,0.15248605489095546,-0.07178260231314584,-0.13901738252340104,-0.16421264059393353,-0.14727130568549715,-0.17635931962021842,0.01772938177000369,0.21363905032854438,0.036702812166222336,0.07314156472114589,0.01928812979475504,1.0,0.18114103977381046
gender_code,0.06719434433806505,0.06333972843983911,0.03429937768980092,0.22162614743586054,0.13411862612040473,0.03771244361328805,-0.1358258054406151,0.17182047578530185,0.14718041767334658,-0.0794119044860719,0.30412445454020826,-0.18280814727839023,0.22116293423234562,0.02597488164996386,-0.07331685413285159,0.10473594642760158,-0.15278044515357547,-0.044518704219611904,0.02863743649714925,0.24480501365802027,0.3961352657004832,0.2338529789827011,0.15786796183924143,0.0977856280118132,0.18114103977381046,1.0
