passation_hour_pre,visitor_id,age,gender,city_country_residence,nationality,french_level,diploma,one_artwork_interest,discovery_interest,crowd_tolerance,lose_interest_with_crowd,distance_tolerance,already_visited,number_visits,last_time_visited,group_or_alone,visit_duration,eye_problem,physical_sleepiness,mental_sleepiness,speed,current_emotion,motiv_curiosity,motiv_else,motiv_familyOut,motiv_price,motiv_schoolOut,motiv_weather,visitGoal_surprised,visitGoal_else,visitGoal_explore,visitGoal_inspiration,visitGoal_fun,visitGoal_interact,visitGoal_learn,visitGoal_noGoal,visitGoal_SeeAgain,visitGoal_mindOff,passation_hour_post,art_knowledge,art_involvement,visit_rate,taking_audioguide,application_interest,appli_knowledge,satisfaction,goals_reached,device_trouble,crowd_trouble,dist_sensation,multiple_paths,recsys_personalization,diversity,theme_path,geolocalisation_acceptance,context_dependence,mood_dependence,sleepiness_dependence,end_visit_physical_sleepiness,end_visit_mental_sleepiness,panel_interest,memory_test_fr,surprise_event_fr,comments_fr,memory_test_en,surprise_event_en,comments_en,musHabit_archeo,musHabit_histArt,musHabit_castle,musHabit_contemporary,musHabit_else,musHabit_fineArt,musHabit_natHist,musHabit_nature,musHabit_none,musDisco_else,musDisco_familyFriends,musDisco_magazine,musDisco_media,musDisco_nothing,musDisco_socNetwork,wantedFunc_catalog,wantedFunc_else,wantedFunc_games,wantedFunc_map,wantedFunc_nothing,wantedFunc_reco,wantedFunc_thematicTour,visit_duration_limited,gender_code
2019/02/18 11:18:59 AM UTC+2,201902181010,30,man,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",4,2,2,4,5,Yes,1,Several years ago,alone,60,Normal vision,1,3,4,3,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2019/02/18 12:26:32 PM UTC+2,Low level,No involvement,rarely or never,No,No,No,5,4,4,4,1,0,0,0,0,0,4,1,1,1,2,5,J'ai découvert Emile Friant que je ne connaissais pas et ses portraits m'ont impressionné.,"Le style de peinture au XVIe et XVIIe était très sombre et assez plate, peu varié et ça m'intéressait assez peu. Dans les tableaux récents il y a plus de couleurs, c'est plus vivant et plus intéressant. Il y a davantage de diversité.",Rien,"I discovered Emile Friant, whom I didn't know, and I was impressed by his portraits.","The style of painting in the sixteenth and seventeenth centuries was very dark and rather flat, with little variety and little interest. In recent paintings, there's more color, it's livelier and more interesting. There's more diversity.",Nothing,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0
2019/02/18 11:45:19 AM UTC+2,201902181020,27,man,"Nancy, France",senegalese,Advanced,"Master's Degree, MS/MSc",3,4,3,2,3,Yes,2,A few weeks ago,alone,60,Normal vision,2,1,3,4,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,2019/02/18 12:54:57 PM UTC+2,Low level,No involvement,rarely or never,No,Yes,Yes but I did not use it during the visit,3,3,3,2,4,4,3,4,4,2,3,4,2,4,3,4,"la culture japonaise, le ying et le yang, l'histoire de jonas, oeuvre la misère ou le pauvre, les arts graphiques","l'art japonaise, l'armoire au 1er étage, le sabre, les dragons",Rien,"japanese culture, ying and yang, the story of Jonas, working for the poor, graphic arts","japanese art, the cupboard on the 1st floor, the sword, the dragons",Nothing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1.0
2019/02/18 1:05:25 PM UTC+2,201902181200,23,woman,"Nancy, France",french,Native/bilingual,"BA, BS/BSc",1,4,2,2,4,Yes,2,Several years ago,group,unlimited,Normal vision,1,1,4,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2019/02/18 2:20:03 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,5,5,1,1,2,0,0,0,0,0,4,2,2,1,1,4,Les pupitres exposés dans la première salle du RDC datent des années 30,Certains visages m'ont marqué sur les tableaux au 1er étage (visages bizarres et peu communs),Rien,The desks on display in the first room on the ground floor date from the 1930s.,"Some of the faces on the paintings on the 1st floor stood out for me (strange, unusual faces).",Nothing,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0.0
2019/02/18 1:07:35 PM UTC+2,201902181210,21,man,"Nancy, France",french,Native/bilingual,"Youth Training, BTEC First Diploma, NVQ Level 1-2",1,5,5,1,5,Yes,2,Several years ago,group,unlimited,Normal vision,1,1,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019/02/18 2:11:02 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,5,5,1,1,1,4,4,4,5,5,4,2,1,1,1,3,Rien,la toussaint sur l'écran,Rien,Nothing,toussaint on the screen,Nothing,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1.0
2019/02/18 3:07:06 PM UTC+2,201902181400,72,woman,"Nancy, France",french,Native/bilingual,PhD,2,2,2,4,1,Yes,20,A few weeks ago,group,90,Normal vision,1,1,3,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2019/02/18 4:42:39 PM UTC+2,Art lover,Art student,One or more times a month,Yes,Yes,Yes but I did not use it during the visit,5,5,2,2,2,0,0,0,0,0,5,3,1,1,3,4,"Je ne savais pas qu'au 2ème étage, où je monte moins d'habitude, il y a des tableaux flamands. Je connais Amsterdam et d'autres lieux.",Un tableau que je n'aime pas particulièrement m'a surpris par sa mise en page. Je n'ai pas su où arrêter mon regard.,Il faudrait une montre pour savoir où on en est du temps de visite,"I didn't know that on the 2nd floor, where I don't usually go up so much, there are Flemish paintings. I know Amsterdam and other places.",A painting I don't particularly like surprised me with its layout. I didn't know where to stop looking.,You'd need a watch to keep track of your visiting time.,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0.0
2019/02/18 3:10:11 PM UTC+2,201902181410,75,woman,"Nancy, France",french,Native/bilingual,PhD,4,4,4,2,4,Yes,50,A few weeks ago,group,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019/02/18 4:27:21 PM UTC+2,General level,No involvement,A few times a year,No,Yes,Yes but I did not use it during the visit,4,4,1,2,2,0,0,0,0,0,4,2,1,1,1,3,Rien,j'ai découvert l'enlèvement des Sabines,Rien,Nothing,I discovered the Abduction of the Sabine women,Nothing,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0.0
2019/02/18 5:00:27 PM UTC+2,201902181600,55,woman,"Fuveau, France",french,Native/bilingual,BTEC Higher National Diploma,3,5,3,5,5,No,0,Never,alone,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,1,3,4,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2019/02/18 6:36:34 PM UTC+2,Low level,No involvement,A few times a year,No,Yes,No,3,3,1,1,1,5,5,5,5,5,5,4,4,1,4,4,La création en relief d'une peinture pour rendre la peinture accessible aux non voyants était intéressante.,"J'ai réalisé que je n'aimais pas la peinture italienne (2ème étage, période du XIV au XVIe siècle). C'est pour cela que j'ai commencé par le plus ancien d'abord, ce qui correspond à la scénographie du musée.",J'ai écourté la visite sur la fin car je commençais à fatiguer mentalement. C'est dommage car c'est la partie qui m'aurait le plus intéressé. Il faudra que je revienne. Il manque des explications sur les techniques et les courants de peinture. Et j'ai reconnu certaines choses sans être vraiment sûr donc c'est un peu dommage de ne pas avoir les explications.,The creation of a relief painting to make it accessible to the visually impaired was interesting.,"I realized that I don't like Italian painting (2nd floor, 14th to 16th century). That's why I started with the oldest first, which corresponds to the museum's scenography.","I cut the tour short at the end because I was getting mentally tired. It's a shame because that's the part that would have interested me the most. I'll have to come back. Explanations of painting techniques and trends are lacking. And I recognized some things without really being sure, so it's a shame not to have the explanations.",1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0.0
2019/02/18 5:30:00 PM UTC+2,201902181610,22,man,"Nancy, France",french,Native/bilingual,A levels,3,4,1,5,5,Yes,2,Several months ago,alone,unlimited,"Normal vision with visual correction device (glasses, lenses)",1,2,1,4,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,2019/02/18 5:37:34 PM UTC+2,General level,No involvement,One or more times a month,No,Yes,No,4,3,5,1,1,5,3,4,4,5,4,1,1,1,4,0,Rien,Peinture d'Eugène delacroix,Rien,Nothing,Painting by Eugène delacroix,Nothing,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1.0
2019/02/20 11:28:43 AM UTC+2,201902201020,66,woman,"Nancy, France",french,Native/bilingual,"Master's Degree, MS/MSc",1,3,5,1,5,Yes,200,A few weeks ago,alone,30,"Normal vision with visual correction device (glasses, lenses)",1,1,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019/02/20 11:53:05 AM UTC+2,Specialist/expert,Art teacher,One or more times a month,No,No,Yes but I did not use it during the visit,4,4,1,1,1,0,0,0,0,0,5,5,5,1,1,0,kusama et bas reliefs,le nombre de petits enfants/scolaire durant la visite ,-Vous faire part de ma méthode du trajet de l'oeil appliquée au lycée Varoquaux 1983-2010,Kusama and bas-reliefs,the number of small children/schoolchildren during the visit ,Share with you my eye-tracking method applied at the Lycée Varoquaux 1983-2010,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0.0
2019/02/20 1:19:20 PM UTC+2,201902201210,37,man,"Nancy, France",french,Native/bilingual,PhD,3,5,2,2,3,Yes,2,Several years ago,alone,90,Normal vision,2,5,5,5,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,2019/02/20 2:35:36 PM UTC+2,General level,No involvement,A few times a year,No,Yes,No,2,4,2,1,4,0,0,0,0,0,1,2,2,2,5,4,"Je ne connaissais pas ces meubles de la collection Prouvé, je savais qu'il avait réalisé des meubles mais je ne connaissais pas ceux-ci","L'absence du tableau de Delacroix, la bataille de Nancy",Éclairage à revoir au sein du musée,"I didn't know these pieces of furniture from the Prouvé collection, I knew he had made furniture but I didn't know these.","the absence of Delacroix's painting, The Battle of Nancy",Lighting to be reviewed in the museum,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1.0
