from_zone,to_zone,count,dependency,dependency_pct
0,1,14,0.011696,1.17
0,5,42,0.035088,3.51
1,0,28,0.023392,2.34
1,2,1,0.000835,0.08
1,5,2,0.001671,0.17
1,6,2,0.001671,0.17
1,12,6,0.005013,0.5
1,13,2,0.001671,0.17
2,1,7,0.005848,0.58
2,3,12,0.010025,1.0
2,6,5,0.004177,0.42
3,2,7,0.005848,0.58
3,4,12,0.010025,1.0
3,5,26,0.021721,2.17
3,6,14,0.011696,1.17
3,7,13,0.01086,1.09
3,8,25,0.020886,2.09
4,3,12,0.010025,1.0
4,5,1,0.000835,0.08
5,0,26,0.021721,2.17
5,3,44,0.036759,3.68
5,4,1,0.000835,0.08
6,2,12,0.010025,1.0
6,3,11,0.00919,0.92
6,7,15,0.012531,1.25
7,3,9,0.007519,0.75
7,6,16,0.013367,1.34
7,8,3,0.002506,0.25
7,10,39,0.032581,3.26
7,11,28,0.023392,2.34
7,12,1,0.000835,0.08
7,15,22,0.018379,1.84
8,3,8,0.006683,0.67
8,7,2,0.001671,0.17
8,9,29,0.024227,2.42
8,10,35,0.02924,2.92
9,8,11,0.00919,0.92
9,10,34,0.028404,2.84
9,12,26,0.021721,2.17
9,13,8,0.006683,0.67
10,7,36,0.030075,3.01
10,8,35,0.02924,2.92
10,9,31,0.025898,2.59
10,11,44,0.036759,3.68
10,13,28,0.023392,2.34
11,7,28,0.023392,2.34
11,10,44,0.036759,3.68
11,13,1,0.000835,0.08
12,9,9,0.007519,0.75
12,13,52,0.043442,4.34
13,1,21,0.017544,1.75
13,2,4,0.003342,0.33
13,6,1,0.000835,0.08
13,9,10,0.008354,0.84
13,10,22,0.018379,1.84
13,12,28,0.023392,2.34
13,14,38,0.031746,3.17
13,15,45,0.037594,3.76
14,0,1,0.000835,0.08
14,13,37,0.030911,3.09
14,15,2,0.001671,0.17
15,7,25,0.020886,2.09
15,11,1,0.000835,0.08
15,13,41,0.034252,3.43
15,14,2,0.001671,0.17
